user_input,reference_contexts,reference,synthesizer_name
平成 21 年 7 月 1 日って何か関係あるんですか？,['情報種別：社外秘\n\n会社名：㈱クニエ\n\n情報所有者：経営管理本部\n\n社 員 就 業 規 則\n\n（令和 6 年 5 月 1 日改定版）\n\n株式会社クニエ\n\n社 員 就 業 規 則\n\n社長達 第５号 平成 16 年 6 月 28 日制定\n\n【一部改定： 平成 17 年 6 月 1 日】\n\n【一部改定： 平成 19 年 4 月 1 日】\n\n【一部改定： 平成 21 年 7 月 1 日】\n\n【一部改定： 平成 22 年 4 月 1 日】\n\n【一部改定： 平成 25 年 4 月 1 日】\n\n【一部改定： 平成 26 年 4 月 1 日】\n\n【一部改定：平成 27 年 12 月 1 日】\n\n【一部改定： 平成 28 年 2 月 1 日】\n\n【一部改定： 平成 29 年 2 月 1 日】\n\n【一部改定： 令和元年 9 月 1 日】\n\n【一部改定： 令和 3 年 2 月 28 日】\n\n【一部改定：令和 4 年 5 月 1 日】\n\n【一部改定：令和 5 年 4 月 1 日】\n\n【一部改定：令和 6 年 5 月 1 日】\n\n【一部改定：令和 7 年 4 月 1 日】\n\n社員就業規則を次のように定める。\n\n 第 1 章 総 則\n\n（準 則）\n\n第1条 株式会社クニエ（以下「会社」という。）の社員の就業に関しては、会社の定める本就業規則、\n\n付随規則、関連規程類（以下包括して「本規則等」という）及び労働基準法等の定めるところに\n\nよる。\n\n(社員の定義)\n\n第2条 本規則等において「社員」とは会社に常時勤務する者であって、契約社員・パート・アルバイ\n\nト・嘱託社員その他臨時的或いは期間を定めて雇用される者以外の者とする。\n\n(適用の除外)\n\n第3条 下記の者には、第３章のうち、勤務時間から休日までの規定は適用しない。別に定める裁量労働\n\n規程において対象者とされた者については、別途定める第3章の第25条の裁量労働制を適用する。\n\n1\n\n(1) 管理監督の地位にある者\n\n'],平成 21 年 7 月 1 日は、株式会社クニエの社員就業規則が一部改定された日付の一つです。,single_hop_specific_query_synthesizer
What Global Compliance Policy mean and what I supposed to do about it?,['第 2 章 服 務 (服務の根本基準) 第4条 社員は、本規則等に定める事項のほか、業務上の指示命令に従い、職場の秩序・風紀を維持し、 自己の業務に専念しなければならない。 2 社員は常に品位を保ち、会社の名誉を重んじ、いやしくも信用を傷つけ、又会社に損害を及ぼす 等の行為をしてはならない。 3 社員は社会的信頼に応えるために自らが法令、Global Compliance Policy 及び本規則等を遵守す るとともに、会社がこれらの遵守を実現するために協力しなければならない。 (秩序風紀の維持） 第5条 社員は、みだりに欠勤し、遅刻し、若しくは早退し、又は会社の承認を受けないで、執務場所を 離れ、勤務時間を変更し、若しくは職務を交換してはならない。 2 社員は、会社の他の社員を誘い又は強要して、欠勤、遅刻若しくは早退をさせ、又はその就業を 妨げてはならない。 3 社員は自己の職務上の権限を超えて専断的なことを行ってはならない。 4 社員は、会社施設内において、みだりに飲酒、酩酊し、又は賭博等をしてはならない。 5 社員は、会社施設内において、みだりに火器その他の危険物を所持し、又は使用してはならい。 6 社員は、会社の物品又は財産を不当に棄却、亡失、毀損し、又は私用に供してはならない。 7 社員は、会社施設内において、演説、集会、貼紙、掲示、ビラの配布その他これに類する行為を しようとするときは、事前に別に定めるその会社施設の管理責任者の許可を受けなければならない。 8 社員は、会社施設内において、選挙運動その他の政治活動をしてはならない。 9 社員は、性的な言動等のハラスメント行為によって他の従業員に不利益を与えたり、職場環境を'],"The Global Compliance Policy requires employees to adhere to laws, company rules, and regulations to maintain social trust. Employees must cooperate with the company to ensure compliance and avoid actions that harm the company's reputation or cause damage.",single_hop_specific_query_synthesizer
こきゃくに関する情報はどう扱うべきですか？,['乱すようなことはしてはならない。 10 社員は、優越的な関係に基づき、業務の適正な範囲を超え、身体的若しくは精神的な苦痛を与え る行為、又は就業環境を害する行為をしてはならない。 11 社員は、他の社員の妊娠・出産、育児・介護に関する制度や措置の適正な利用等に関し、解雇そ の他不利益な取扱いを示唆する言動や利用を阻害する言動、あるいは、妊娠・出産したことに対す る嫌がらせ等をしてはならない。 12 社員は、電子メールを使用して違法な行為をしたり、会社に不利益を及ぼすような使用をしては ならない。会社は管理の必要上、電子メールを閲覧する場合がある。 13 社員は、会社施設内外を問わず、社員・顧客・取引企業その他会社関係者に対して、会社業務と 関係のない営業行為・勧誘行為・宣伝行為を行ってはならない。 14 社員は、会社が必要とする手続き、届出及び報告を拒んだり怠ったり、又は偽ったりしてはなら 2 ない。 15 社員は上司の正当な指示に反する行為をしてはならない。 16 前各号のほか、社員は、会社施設内において、風紀秩序を乱すような言動をしてはならない。 17 マネージャー以上の役職にある者は、良好な勤務環境を確保し、会社が定める「雇用機会均等・ 反ハラスメントポリシー」を遵守・推進するため、日常の指導等によりハラスメントの防止及び排 除に努めるとともに、ハラスメントに起因する問題が生じた場合には、迅速かつ適切に対応しなけ ればならない。 （職務上の秘密保持義務） 第6条 社員は、職務上知ることができた以下に定める情報（以下「秘密情報」という）を漏らしてはな らない。 (1) 業務上知り得た顧客（以下「クライアント」という）に関する情報 (2) 会社の活動に関する技術的及び経営的情報 (3) その他、会社が守秘義務を課した情報 2'],社員は、職務上知ることができた顧客（クライアント）に関する情報を漏らしてはなりません。,single_hop_specific_query_synthesizer
社員は秘密情報に関してどのようなルールを守る必要がありますか？,['社員は、職務上知ることができた個人情報並びに個人番号及び特定個人情報を正当な理由なく使 用又は漏らしてはならない。 3 前１項及び２項は、その職を退いた後においても同様とする。 4 社員は会社の管理する秘密情報を、指示された業務以外の目的、内容あるいは方法をもって、開 示若しくは漏洩、使用（翻訳・翻案を含む）、複写、又は複製してはならない。また会社や顧客の建 物から会社又は顧客の同意を得ることなく当該秘密情報を持ち出してはならない。 5 社員は、自己の以前の雇用者その他の第三者の秘密情報、営業秘密情報（以下「財産的情報」と いう）を、会社の被用者の利益のために、知りながら利用したりこれに開示することをせず、また、 いかなる第三者の財産的情報も、知りながら侵害しないものとする。社員は、社員と第三者との間 の契約、合意その他の義務が、会社に対する自己の義務の完全な履行又は当該契約条項の遵守を、 いかなる態様であれ妨げるものでない旨表明し且つ保証する。上記にかかわらず、社員は、前の雇 用者その他の者との間で、財産的情報に関して契約に署名している場合は、秘密保持義務に抵触し ない範囲に於いて、当該契約の写しを会社に提出することができる。 （競業避止及び勧誘の禁止） 第7条 社員は雇用期間中及び退職後12カ月間（管理職に限っては退職後24ヵ月間）は、書面による会社 の事前承諾なく、直接又は間接を問わず、会社の顧客もしくは会社の顧客（潜在顧客）である者 （法人・団体を含む）に対して、会社と競業するような行為（営業上の働きかけ及び競業する仕 事の受注等含む）を行なってはならない。 2 社員は雇用期間中及び退職後 12 カ月間、会社の社員に対する退職・移籍等の勧誘をしてはなら ない。 3 社員が雇用期間中に前項に違反した場合、会社はその社員に対して懲戒解雇を含む懲戒処分に付 するものとする。 3 4 社員が本条第１項及び２項に違反したことにより会社に損害を与えた場合、社員は会社に対し損 害賠償責任を負わなければならない。 （金品、利益の受領の禁止） 第8条 社員は、職務に関して、会社の内外を問わず他人から報酬その他名義のいかんにかかわらず、金'],社員は、会社の管理する秘密情報を指示された業務以外の目的、内容あるいは方法をもって開示、漏洩、使用（翻訳・翻案を含む）、複写、又は複製してはならず、会社や顧客の建物から会社又は顧客の同意を得ることなく秘密情報を持ち出してはなりません。また、以前の雇用者や第三者の秘密情報を会社の利益のために利用したり開示することも禁止されています。,single_hop_specific_query_synthesizer
雇用機会均等・反ハラスメントポリシーはどのように社内で扱われていますか？,['銭又は物品の寄贈を受け、又はその他の利益を受けてはならない。 2 社員は関係法令の定めに従い、顧客あるいは委託先に対して投資及びその他の利害関係を持って はならない。 3 社員は顧客あるいは委託先から物品又はサービスを購入しようとする場合、当該顧客あるいは委 託先に値引きを依頼し、又は受けてはならない。ただし、顧客あるいは委託先が同様の値引きを他 の者又はグループに与えているときは、社員はその旨を会社に報告の上、値引きを受けることがで きる。 （他の業務の関与制限） 第9条 社員は、従事する勤務のほかに報酬を得て他の勤務に従事し、又は自ら営業を営もうとするとき は、会社の許可を受けなければならない。 2 社員は、国会又は地方公共団体の議会の議員その他公選による公職の選挙に立候補するときは、 会社に届け出なければならない。また、これらに就任するときは、すみやかに会社に届け出なけれ ばならない。 （コンプライアンス委員会と内部通報） 第10条 会社は、常に社会の信頼に応えるため、遵法状況を促進することを目的として、コンプライア ンス委員会を設けることができる。また、本就業規則の付随規則として、「雇用機会均等・反ハ ラスメントポリシー」及び「法令遵守手続き及び内部通報規程」を設定する。社員は、本規則等 の違反を知得したとき、又は疑いを持ったときには当該情報を会社の内部通報規程に従って直ち に会社に報告し、会社の遵法維持と会社の行う関連調査に協力するものとする。 （知的財産権） 第11条 著作権： 社員が職務上作成する著作物（以下「職務作成著作物」という）の著作権について は、会社名義の公表の有無に関わらず、会社に帰属するものとする。なお、当該権利帰属につい ては、会社は社員に対して対価の支払いを要しないものとする。 2 職務作成著作物について社員が著作者人格権を保有する場合においても、会社又は会社が指名し た者に対してこれを行使しないものとする。 3 特許権、実用新案権、意匠権： 社員が現在又は過去の職務に関連して、発明考案及び意匠を創 作したときは、当該特許権、実用新案権、もしくは意匠権（それらを受ける権利を含む）は、原始 的に会社に帰属するものとする。'],会社は、社会の信頼に応えるため、コンプライアンス委員会を設けることができ、本就業規則の付随規則として「雇用機会均等・反ハラスメントポリシー」を設定しています。社員は、この規則等の違反を知得した場合や疑いを持った場合、会社の内部通報規程に従って直ちに報告し、会社の遵法維持と関連調査に協力するものとされています。,single_hop_specific_query_synthesizer
What are the conditions under which an employee can transition from sick leave under Article 38 to a leave of absence under Article 51?,"['<1-hop>\n\n生理日の就業が著しく困難な女性社員又は生理に有 害な業務に従事する女性社員に、必要とする限度 （ただし、有給休暇は月に１日のみとする。1日単 位） (17) 創立記念日 半日（７月１日） 2 生理休暇等、本条に規定する特別休暇は濫用してはならない。 3 第１項第１４号から第１６号までの休暇は、第５９条に定める試用期間中は無給とする。 （病気休暇） 10 第38条 社員は、業務外で負傷し、又は疾病にかかったときで、医師から療養のため1ヶ月以上の就業が 不能と診断された場合、休暇開始日における勤続年数に応じて、下記に定める期間を限度として 病気休暇を受けることができる。 ① 勤続年数１年未満……１ヶ月 ② 勤続年数１年以上～３年未満……２ヶ月 ③ 勤続年数３年以上～５年未満……３ヶ月 ④ 勤続年数５年以上……４ヶ月 休暇を取得した者が復職後、短期間（その前後が精神疾患の場合は９０日以内（２回目以降は １８０日以内）、その他の場合は９０日以内をいう。）勤務し、再び会社が同種または類似と 認める事由により病気休暇を取得した場合には、その前後の休暇は連続するものとみなす。 2 病気休暇は有給とする。ただし、試用期間中の者の病気休暇は、無給とする。 3 第１項の場合において、必要があるときは、社員は、会社が指定した医師の診断書の提出又は 産業医の面談を受けなければならない。診断書の費用は社員が負担するものとする。 4 社員は、次の各号の一に該当する場合は、第1項にかかわらず、病気休暇は1ヶ月以内とし、無 休として扱う。 (1) 正当な理由がなく会社が行なう健康診断を受けなかったとき (2) 療養を命ぜられた社員が、その命令に違反して正規の療養を怠ったとき 5 病気休暇の取得期間は在籍期間中として通算するものとする。 （看護等休暇） 第39条 社員（試用期間中の者を除く。）は、次の各号の一に該当し、当該社員の他に看護する者がな く、一定期間看護のために勤務できない場合に看護休暇が与えられる。', '<2-hop>\n\n第51条 社員は、第３８条の規定による病気休暇の期間を経過しても、なおその故障が消滅しないとき は、休暇開始日における勤続年数に応じて、下記に定める期間を限度として休職にされる。 ① 勤続年数１年未満……２ヶ月 ② 勤続年数１年以上～３年未満……４ヶ月 ③ 勤続年数３年以上～５年未満……６ヶ月 ④ 勤続年数５年以上……８ヶ月 休職を取得した者が復職後、短期間（その前後が精神疾患の場合は９０日以内（２回目以降は １８０日以内）、その他の場合は９０日以内をいう。）勤務し、再び会社が同種または類似と 認める事由により病気休暇を取得した場合には、その前後の休職は連続するものとみなす。 14 2 社員は、休職期間中に休職事由が消滅した時には、医師の診断書とともに遅滞なく届け出て復 職申請を行わなければならない。会社が復職申請を承認したときに復職するものとする。 3 前２項の場合において、必要があるときは、社員は、会社が指定した医師の診断書の提出又は 産業医の面談を受けなければならない。診断書の費用は社員が負担するものとする。 4 休職を取得した者が復職する際は、原則として休職前の職務に復帰する。但し、業務上特別な 事由がある場合には、休職前の職務以外に復帰させる場合もある。 （刑事休職） 第52条 社員は、刑事事件に関し起訴されたときは、休職にされることがある 2 前項の規定による休職の期間は、その事件が裁判所に係属する間とする。 （育児休職） 第53条 育児休職については「育児休職に関する取扱細則」に別に定める。 （介護休職） 第54条 介護休職については「介護休職に関する取扱細則」に別に定める。 （退職） 第55条 社員が、次の各号の一に該当する場合は、退職するものとする。 (1) 定年年齢に達したとき。ただし、退職の日は定年年齢に達した日の属する会社事業年度の 末日とする (2) 国会議員、国務大臣、地方公共団体の長に就任したとき (3) 会社の役員に就任したとき (4) 死亡したとき']","An employee can transition from sick leave under Article 38 to a leave of absence under Article 51 if the sick leave period has been exhausted and the employee's condition has not improved. The duration of the leave of absence depends on the employee's length of service at the start of the sick leave: less than 1 year of service allows for 2 months of leave, 1 to 3 years allows for 4 months, 3 to 5 years allows for 6 months, and more than 5 years allows for 8 months. Additionally, during the leave of absence, the employee must provide a medical certificate and submit a reinstatement application once the condition has resolved.",multi_hop_specific_query_synthesizer
Waht does teh 45th articel say abot employee promtion or demotion?,['<1-hop>\n\n（任免の基準） 第45条 社員の昇職・昇格又は降職・降格は、その者の職務遂行における行動・業績、勤務成績等に基 づいて行われる。降職・降格により、規定にもとづき給与が減額されることがある。 （転勤、配置転換等） 第46条 社員は、業務上必要があるときは、勤務地又は担当する職務を変更されることがある。 （出向） 第47条 社員は、業務上の都合により、出向させられることがある。 13 （赴任） 第48条 社員は、転勤、配置転換、出向等を命ぜられた場合で勤務地への赴任を要する場合はその任命 の日から７日以内に赴任しなければならない。従業員は正当な理由がなければこれを拒んではな らない。ただし、事務引継その他止むを得ない理由により、７日以内に赴任することができない ときは、会社の承認を受けなければならない。 （降職・降格） 第49条 社員は、次の各号の一に該当する場合は、降職・降格されることがある。 (1) 勤務成績がよくないとき (2) 心身の故障のため職務の遂行に支障があり、又はこれに堪えないとき ただし、「労働者に対する性別を理由とする差別の禁止等に関する規定に定める事項に関 し、事業主が適切に対処するための指針」（平成１８年厚生労働省告示第６１４号）に定め る妊娠又は出産に起因する症状に該当する場合は、降職・降格については対象外とする。 (3) その他その職務に必要な適格性を欠くとき (4) 業務量の減少その他経営上やむを得ない理由が生じたとき （休職の種類） 第50条 休職には、次の種類があり、休職の間は無給とする。 なお、休職期間は業務都合を除き、原則として勤続年数に通算しない。 (1) 病気休職 (2) 刑事休職 (3) 育児休職 (4) 介護休職 （5）自己都合休職（本人の願い出により会社が許可した場合） 2 前項に定める休職は、試用期間中の者には適用されない。 （病気休職）'],"The 45th article states that employee promotion, demotion, or change in rank is based on their behavior, performance, and work results in carrying out their duties. In cases of demotion or rank reduction, salary may be decreased according to the regulations.",multi_hop_specific_query_synthesizer
労働者災害補償保険法に基づく休業補償はどのように適用されますか？,"['<1-hop>\n\n（健康保険及び厚生年金保険等） 第68条 社員の健康保険制度及び厚生年金保険制度等の適用については、健康保険法及び厚生年金保険 法によるほか、 （雇用保険） 第69条 社員の雇用保険については、雇用保険法の定めるところによる。 （災害補償） 第70条 社員が業務上又は通勤により負傷し、疾病にかかり、若しくは死亡したときは、会社は、法令 の定めるところにより、これに対し補償する。 2 前項の規定にかかわらず、第４１条の公傷休暇及び第４２条の通勤災害休暇を与えられたとき は賃金の支払いを停止して、平均賃金支払額を休業補償金として給付する。ただし、労働者災害 補償保険法（昭和２２年法律第５０号）の休業補償、療養補償、又は疾病補償年金の給付等を受 けるときは、その給付額と平均賃金支払額との差額相当額を補償する。 第９章 安全衛生 （通則） 第71条 社員は、換気、採光、照明、保温、防火、防湿、休養、清潔、避難その他社員の安全及び衛生 の維持向上に協力しなければならない。 （就業禁止） 第72条 次の各号の一に該当する者は、医師又は衛生管理者等の指示に従い就業を禁止する。 （１） 感染症の予防及び感染症の患者に対する医療に関する法律により就業制限となる疾病にかかっ た者 （２）労働安全衛生法により就業禁止となる疾病にかかった者 20 （健康診断及びストレスチェック） 第73条 労働安全衛生法に基づく社員の健康診断及びストレスチェックは、定期(年１回)又は臨時に行 われる。 ２ 社員は、会社が指定する日時及び場所において前項の健康診断を受けなければならない。ただ し、疾病その他やむを得ない理由で、所定の日時及び場所において健康診断を受けることができ ないときは、その理由の消滅後すみやかにこれを受けなければならない。 ３ 健康診断の結果、必要があると認められたときは、社員の健康保持及び衛生管理上必要な措置 が講ぜられることがある ４ ストレスチェックについては「ストレスチェックに関する実施細則」に別に定める。 第10章 研修', '<2-hop>\n\n（振替休日および代休） 第30条 業務上の理由で会社の定める休日に勤務をする必要があるときは、会社が命じる、あるいは、 社員が事前に申請し、承認を得ることで、休日を他の勤務日と振替えることができる。 2 振替休日は振替の対象となる休日より3ヶ月以内の他の勤務日に設定するものとする。やむをえ 7 ず、振替の対象となる休日より前に設定する場合は同月の1日以降とする。 3 社員は、事前に休日を振り替えることができず、やむをえず休日出勤を行った場合、代休を取 得することができる。代休の有効期限は休日勤務日から3ヶ月以内とする。代休は無給とする。 4 振替休日および代休は1日単位の設定または取得とする。 （出張、赴任等の場合の休日） 第31条 社員が出張若しくは赴任の場合における休日は、特に命ぜられた場合を除き、休日として取り 扱う。 （休暇の種類） 第32条 休暇には、次の種類がある。 (1) 有給の休暇 ① 年次休暇 ② 特別休暇 ③ 病気休暇 (2) 無給の休暇 ① 看護等休暇 ② 介護休暇 (3) その他の休暇 ① 公傷休暇 ② 通勤災害休暇 当該休暇中の給与の支給の有無は個別に決定する。但し、労働者災害補償保険法により休業補 償給付又は休業給付が支給可能な場合には無給とする。 2 前項の休暇のほか、社長が必要と認めた場合に与えられる休暇がある。 （年次休暇の日数） 第33条 年次休暇の日数は、所定労働日数の８割以上勤務した場合、一休暇年度（４月１日から引き続 き１年間をいう。以下同じ。）につき次のとおりとし、休暇年度の最初の日に発効する。 (1) 勤続年数1年未満の社員・・・１３日']",労働者災害補償保険法に基づく休業補償は、社員が業務上または通勤による負傷、疾病、もしくは死亡した場合に適用されます。会社は法令の定めに従い補償を行い、休業補償金として平均賃金支払額を給付します。ただし、労働者災害補償保険法による休業補償、療養補償、または疾病補償年金の給付を受ける場合、その給付額と平均賃金支払額との差額相当額を補償します。また、通勤災害休暇中の給与の支給は個別に決定され、労働者災害補償保険法により休業補償給付が支給可能な場合には無給となります。,multi_hop_specific_query_synthesizer
What are the conditions under which employees may be required to work beyond their prescribed working hours as stated in Article 21?,['<1-hop>\n\n第 3 章 就業時間及び休憩 （１週間の勤務時間） 第19条 社員の勤務時間は、休憩時間を除き、４週間を平均した１週間について３７時間３０分とす る。 5 （１日の勤務時間） 第20条 社員の勤務時間は原則として１日７時間３０分とする。 （時間外勤務） 第21条 社員は、次の各号の一に該当する場合においては、所定の勤務時間を超えて会社により勤務を 命ぜられることがある。 (1) 労働基準法第３６条の規定により協定を締結したとき (2) 労働基準法第３３条の規定により労働基準監督署に所定の手続きをしたとき 2 社員は実労働時間が４週間を平均した１週間について４０時間、１週間の各日については１日に ついて８時間をこえない限りにおいて、第１９条、第２０条にかかわらず所定の勤務時間をこえて 会社により勤務を命ぜられることがある。 3 労働基準法第４１条第３号の許可を受けた社員は、所定の勤務時間をこえて所属長により勤務を 命ぜられることがある。 （職務別及び始終業時刻） 第22条 社員の職種別の標準的な始終業時刻は以下の通り定める。 種別 基本の始終業時刻 所定就業時間数 非スタッフ職 午前９時００分～午後６時００分 ８時間 スタッフ職 午前９時００分～午後５時３０分 ７．５時間 なお、スタッフ職とは、管理部門に従事するスタッフ、シニアスタッフ、マネージャー及びその 他非管理職と事業部門のアシスタント職を、非スタッフ職とはスタッフ職以外の非管理職をそれ ぞれ指すものとする。 2 フレックスタイム制については、別に「フレックスタイム制規程」に定める （休憩時間） 第23条 会社は、１日６時間以上服務する社員に、６０分の休憩時間を、勤務の途中において、継続 し、又は分割して与える。 （出張、赴任等の場合の勤務時間） 第24条'],"According to Article 21, employees may be required to work beyond their prescribed working hours under the following conditions: (1) When an agreement is concluded in accordance with the provisions of Article 36 of the Labor Standards Act, and (2) When the prescribed procedures are carried out with the Labor Standards Inspection Office in accordance with the provisions of Article 33 of the Labor Standards Act. Additionally, employees may be required to work beyond the prescribed hours as long as their actual working hours do not exceed an average of 40 hours per week over four weeks or 8 hours per day, regardless of Articles 19 and 20. Employees permitted under Article 41, Paragraph 3 of the Labor Standards Act may also be required to work beyond prescribed hours by their department head.",multi_hop_specific_query_synthesizer
"What does Article 63 specify about disciplinary actions such as admonitions and warnings, and how are these actions handled in cases of lost company property?",['<1-hop>\n\n分の１を支給する。 (5) 減給 １回につき、平均賃金の１日分の半額以内を減額し、将来を戒める。た だし、１賃金支払期における減給の総額は、賃金総額の10分の１以内と する。 (6) 譴責 厳重に注意し、将来を戒める。 （訓告及び戒告） 第63条 社員は、第６１条各号の一に該当する場合で、前条の規定による懲戒処分を行うに至らない程 度であるときは、その将来を戒めるため、訓告されることがある。また、顧客先のビル入館証紛 失、会社貸与の携帯電話あるいはパソコン紛失等の際には、始末書を提出させ、将来を戒めるた め戒告されることがある。 2 訓告の取扱いについては「訓告規程」に定める。 第６章 給与 （一般社員及び管理職の給与） 第64条 社員の給与については、「給与規程」に別に定める。 第７章 退職金 （退職金） 第65条 社員の退職金については、「退職金規程」に別に定める。ただし、旧ザカティーコンサルティ ング株式会社が定めていた退職金規程は平成31年6月末まで対象社員のみ有効とし、同年7月1日以 降はその適用を廃止する。 （確定拠出年金） 第66条 第13章に定める確定拠出年金の加入者とならない期間がある者及び第82条により算定される額 19 が確定拠出年金法施行令第11条第２号に定める額（以下、「拠出限度額」という。）を超えるこ ととなる期間がある者については、それぞれ当該期間中の「累積加算額」を前条の退職金に加算 する。 （累積加算額） 第 67 条 累積加算額は月を単位に次により算定される額とする。 なお、算定結果に円未満の端数がある場合は、これを切り上げる。 （１）第 82 条により算定される額が拠出限度額を超えることとなる額 第８章 社会保険等'],"Article 63 specifies that employees may be admonished or warned for actions that do not warrant formal disciplinary measures as outlined in Article 61. These actions are intended to caution employees for their future conduct. In cases such as the loss of client building access cards, company-issued mobile phones, or laptops, employees are required to submit a written apology and may be warned to prevent similar incidents in the future. The handling of admonitions is further detailed in the 'Admonition Regulations.'",multi_hop_specific_query_synthesizer
